target_id,modality,feature,effect_size,q_value,n_target,n_rest
5V_CORE01,ct,log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.88162441,0.06442501,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_gldm_DependenceNonUniformity,-0.48572829,0.08007244,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_gldm_DependenceNonUniformityNormalized,-0.52036555,0.15971302,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_gldm_DependenceVariance,0.3679211,0.23234607,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_gldm_GrayLevelNonUniformity,-0.48876963,0.07547086,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_gldm_GrayLevelVariance,0.80580522,0.06752942,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_gldm_HighGrayLevelEmphasis,-0.19618064,0.65483863,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_gldm_LargeDependenceEmphasis,-0.60128249,0.10004296,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,-0.31880813,0.41268793,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,-0.28786314,0.79265839,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_gldm_LowGrayLevelEmphasis,-0.09940893,0.49302929,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis,0.66060224,0.0784387,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.13736973,0.48603306,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.32394823,0.08075894,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformity,-0.48463835,0.0784387,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,-0.74867291,0.06442501,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glrlm_GrayLevelVariance,0.7401142,0.07547086,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,-0.20145667,0.52389392,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glrlm_LongRunEmphasis,-0.59264755,0.13125071,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,-0.37168772,0.17422141,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,-0.39737334,0.62497318,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,-0.0459258,0.47159227,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glrlm_RunEntropy,0.13960883,0.60843604,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformity,-0.43003141,0.10828476,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,0.66842022,0.06442501,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glrlm_RunPercentage,0.63167779,0.0784387,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glrlm_RunVariance,-0.57720138,0.14788426,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glrlm_ShortRunEmphasis,0.71662617,0.07034834,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,-0.0889308,0.73969524,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.18175848,0.35992769,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity,-0.25918546,0.24227128,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,-0.56380284,0.124845,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glszm_GrayLevelVariance,0.49108247,0.2544854,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,-0.13857874,0.9241954,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis,-0.36753801,0.06442501,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,-0.39309641,0.06442501,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,-0.30442183,0.08388425,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,-0.13105388,0.47159227,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity,-0.26039028,0.41268793,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.12098781,0.79265839,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,0.09569516,0.7613112,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,-0.09783957,0.73969524,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,-0.0201631,0.60843604,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glszm_ZoneEntropy,0.06496965,0.86334531,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glszm_ZonePercentage,0.52374909,0.14096897,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glszm_ZoneVariance,-0.36761584,0.06442501,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_ngtdm_Busyness,-0.43671134,0.0784387,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_ngtdm_Coarseness,0.62104006,0.0784387,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_ngtdm_Complexity,-0.10245156,0.9241954,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_ngtdm_Contrast,0.45390164,0.21124717,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_ngtdm_Strength,0.65339421,0.0784387,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_firstorder_10Percentile,-0.8506138,0.07242618,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_firstorder_90Percentile,0.6132427,0.11793441,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_firstorder_Energy,-0.20029767,0.29133428,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_firstorder_Entropy,0.83403308,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_firstorder_InterquartileRange,0.9638855,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_firstorder_Kurtosis,-0.60507963,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_firstorder_Maximum,0.17117486,0.60224497,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_firstorder_Mean,-0.54550304,0.09572215,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.89126921,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_firstorder_Median,-0.48687535,0.15161561,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_firstorder_Minimum,0.12491542,0.9241954,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_firstorder_Range,0.0022626,0.91148481,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.93977339,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_firstorder_RootMeanSquared,0.91001861,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_firstorder_Skewness,0.45694245,0.26887106,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_firstorder_TotalEnergy,-0.20029767,0.29133428,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_firstorder_Uniformity,-0.81291112,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_firstorder_Variance,0.86923984,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glcm_Autocorrelation,-0.16062162,0.61806354,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glcm_ClusterProminence,0.70319592,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glcm_ClusterShade,-0.68260476,0.08251423,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glcm_ClusterTendency,0.85675354,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glcm_Contrast,0.91779152,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glcm_Correlation,0.71172466,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glcm_DifferenceAverage,0.91861971,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glcm_DifferenceEntropy,0.8629624,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glcm_DifferenceVariance,0.87219188,0.06938523,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glcm_Id,-0.91701731,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glcm_Idm,-0.91792547,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glcm_Idmn,-0.25016108,0.30907931,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glcm_Idn,-0.78111752,0.08075894,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glcm_Imc1,-0.35076781,0.32472453,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glcm_Imc2,0.71306464,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glcm_InverseVariance,0.91096843,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glcm_JointAverage,-0.14098318,0.58721166,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glcm_JointEnergy,-0.81001077,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glcm_JointEntropy,0.86898234,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glcm_MCC,0.6539733,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glcm_MaximumProbability,-0.72097759,0.06938523,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glcm_SumAverage,-0.14098318,0.58721166,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glcm_SumEntropy,0.85669825,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glcm_SumSquares,0.86461522,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_gldm_DependenceEntropy,0.8633775,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_gldm_DependenceNonUniformity,-0.48220416,0.07470159,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_gldm_DependenceNonUniformityNormalized,-0.66360824,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_gldm_DependenceVariance,0.6401427,0.08251423,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_gldm_GrayLevelNonUniformity,-0.50357365,0.06618689,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_gldm_GrayLevelVariance,0.85608343,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_gldm_HighGrayLevelEmphasis,-0.15610854,0.60224497,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_gldm_LargeDependenceEmphasis,-0.88881888,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,-0.31433136,0.42843677,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,-0.10239629,0.9241954,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_gldm_LowGrayLevelEmphasis,0.13697775,0.45172241,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_gldm_SmallDependenceEmphasis,0.96228775,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.40391912,0.32472453,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.61275848,0.08481485,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity,-0.49285566,0.07547086,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,-0.78272923,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glrlm_GrayLevelVariance,0.76459045,0.07229511,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,-0.18619313,0.49302929,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glrlm_LongRunEmphasis,-0.72201354,0.07242618,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,-0.50247425,0.09834998,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,-0.33408155,0.44444159,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.1863397,0.43115776,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glrlm_RunEntropy,-0.20549769,0.26010265,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformity,-0.38247317,0.12886012,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,0.93641247,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glrlm_RunPercentage,0.90224367,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glrlm_RunVariance,-0.69861037,0.0784387,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glrlm_ShortRunEmphasis,0.90024908,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.11807562,0.64787991,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.56284005,0.11195995,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,-0.33829526,0.16159065,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,-0.21523928,0.71354904,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glszm_GrayLevelVariance,0.16312952,0.57907162,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,-0.04315682,0.85091424,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,-0.44443982,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,-0.38670145,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,-0.35212448,0.07242618,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.10507203,0.59538975,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,-0.37299362,0.25268255,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.35873411,0.79870325,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,0.28220905,0.79265839,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.06181953,0.80781604,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.05481951,0.68344326,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glszm_ZoneEntropy,-0.38888383,0.27300668,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glszm_ZonePercentage,0.89371343,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_glszm_ZoneVariance,-0.44399735,0.06442501,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_ngtdm_Busyness,-0.5188244,0.08388425,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_ngtdm_Coarseness,0.66441016,0.0784387,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_ngtdm_Complexity,0.15674329,0.69042176,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_ngtdm_Contrast,0.88619851,0.07229511,17,52
5V_CORE01,ct,log-sigma-2-0-mm-3D_ngtdm_Strength,0.86314805,0.0784387,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_firstorder_10Percentile,-0.80741695,0.0784387,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_firstorder_90Percentile,0.39061897,0.24468246,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_firstorder_Energy,-0.1940047,0.34859042,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_firstorder_Entropy,0.75127008,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_firstorder_InterquartileRange,0.84918205,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_firstorder_Kurtosis,-0.53986524,0.124845,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_firstorder_Maximum,0.15371817,0.73046878,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_firstorder_Mean,-0.58828336,0.08388425,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.80384107,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_firstorder_Median,-0.5830515,0.10828476,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_firstorder_Minimum,-0.14229964,0.64787991,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_firstorder_Range,0.16147672,0.62497318,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.84329121,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_firstorder_RootMeanSquared,0.88261588,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_firstorder_Skewness,0.41511832,0.31363579,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_firstorder_TotalEnergy,-0.1940047,0.34859042,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_firstorder_Uniformity,-0.69883475,0.07034834,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_firstorder_Variance,0.74123463,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_glcm_Autocorrelation,-0.03549906,0.73046878,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_glcm_ClusterProminence,0.46853306,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_glcm_ClusterShade,-0.52296192,0.18130537,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_glcm_ClusterTendency,0.71053503,0.06618689,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_glcm_Contrast,0.94178295,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_glcm_Correlation,0.47350939,0.23234607,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_glcm_DifferenceAverage,0.93517034,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_glcm_DifferenceEntropy,0.88849251,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_glcm_DifferenceVariance,0.90999973,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_glcm_Id,-0.93217985,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_glcm_Idm,-0.93342087,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_glcm_Idmn,-0.4015475,0.08251423,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_glcm_Idn,-1.08699991,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_glcm_Imc1,0.3669451,0.22928753,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_glcm_Imc2,0.52297465,0.10599941,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_glcm_InverseVariance,0.92630765,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_glcm_JointAverage,-0.05849913,0.69042176,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_glcm_JointEnergy,-0.70779297,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_glcm_JointEntropy,0.80059203,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_glcm_MCC,0.44940869,0.23948621,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_glcm_MaximumProbability,-0.67431437,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_glcm_SumAverage,-0.05849913,0.69042176,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_glcm_SumEntropy,0.77405254,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_glcm_SumSquares,0.72351682,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_gldm_DependenceEntropy,0.88690568,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_gldm_DependenceNonUniformity,-0.49799175,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_gldm_DependenceNonUniformityNormalized,-0.85019303,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_gldm_DependenceVariance,0.71149181,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_gldm_GrayLevelNonUniformity,-0.51317998,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_gldm_GrayLevelVariance,0.72769454,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_gldm_HighGrayLevelEmphasis,-0.02719641,0.74817794,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_gldm_LargeDependenceEmphasis,-0.94099181,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,-0.29452848,0.43115776,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,-0.0324355,0.9241954,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_gldm_LowGrayLevelEmphasis,0.16413018,0.48603306,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_gldm_SmallDependenceEmphasis,1.03619102,0.06442501,17,52
5V_CORE01,ct,log-sigma-3-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.60684702,0.17422141,17,52
